Absolute3DLocalizationElement :: Absolute3DLocalizationElement ( )	Absolute3DLocalizationElement :: Absolute3DLocalizationElement ( )
Cov_ = LaGenMatDouble :: eye ( 6 , 6 )	Cov_ = LaGenMatDouble :: eye ( 6 , 6 )
Cov_ *= sumet_util :: _large_variance	Cov_ *= sumet_util :: _large_variance
T_ = tf :: Transform :: getIdentity ( )	T_ = tf2 :: Transform :: getIdentity ( )
X_ = LaVectorDouble :: zeros ( 6 , 1 )	X_ = LaVectorDouble :: zeros ( 6 , 1 )
this -> setLocType ( sumet_state_estimator :: Loc_Absolute )	this -> setLocType ( sumet_state_estimator :: Loc_Absolute )
Absolute3DLocalizationElement :: Absolute3DLocalizationElement ( const Absolute3DLocalizationElement & var ) : LocalizationElement ( elem )	Absolute3DLocalizationElement :: Absolute3DLocalizationElement ( const Absolute3DLocalizationElement & var ) : LocalizationElement ( elem )
const Absolute3DLocalizationElement & var ; Cov_ . copy ( var . Cov_ )	const Absolute3DLocalizationElement & var ; Cov_ . copy ( var . Cov_ )
const Absolute3DLocalizationElement & var ; X_ . copy ( var . X_ )	const Absolute3DLocalizationElement & var ; X_ . copy ( var . X_ )
const Absolute3DLocalizationElement & var ; T_ = var . T_	const Absolute3DLocalizationElement & var ; T_ = var . T_
void Absolute3DLocalizationElement :: run_update_step ( const tf :: Transform * var , const LaGenMatDouble & var , tf :: Transform * var , LaGenMatDouble & var , double var , bool var )	void Absolute3DLocalizationElement :: run_update_step ( const tf2 :: Transform * var , const LaGenMatDouble & var , tf2 :: Transform * var , LaGenMatDouble & var , double var , bool var )
ROS_DEBUG ( "" , X_ ( 0 ) , X_ ( 1 ) , X_ ( 2 ) , X_ ( 3 ) , X_ ( 4 ) , X_ ( 5 ) , Cov_ ( 0 , 0 ) , 0 , Cov_ ( 1 , 1 ) , 1 , Cov_ ( 2 , 2 ) , 2 , Cov_ ( 3 , 3 ) , 3 , Cov_ ( 4 , 4 ) , 4 , Cov_ ( 5 , 5 ) , 5 )	ROS_DEBUG ( "" , X_ ( 0 ) , X_ ( 1 ) , X_ ( 2 ) , X_ ( 3 ) , X_ ( 4 ) , X_ ( 5 ) , Cov_ ( 0 , 0 ) , 0 , Cov_ ( 1 , 1 ) , 1 , Cov_ ( 2 , 2 ) , 2 , Cov_ ( 3 , 3 ) , 3 , Cov_ ( 4 , 4 ) , 4 , Cov_ ( 5 , 5 ) , 5 )
const int32_t var = 6	const int32_t var = 6
const int32_t var = 6 ; LaVectorDouble var = LaVectorDouble :: zeros ( var , 1 )	const int32_t var = 6 ; LaVectorDouble var = LaVectorDouble :: zeros ( var , 1 )
const tf :: Transform * var ; tf :: Vector3 var = var . getOrigin ( )	const tf2 :: Transform * var ; tf2 :: Vector3 var = var . getOrigin ( )
tf :: Vector3 var = var . getOrigin ( ) ; LaVectorDouble var = LaVectorDouble :: zeros ( var , 1 ) ; var ( 0 ) = var . x ( )	tf2 :: Vector3 var = var . getOrigin ( ) ; LaVectorDouble var = LaVectorDouble :: zeros ( var , 1 ) ; var ( 0 ) = var . x ( )
tf :: Vector3 var = var . getOrigin ( ) ; LaVectorDouble var = LaVectorDouble :: zeros ( var , 1 ) ; var ( 1 ) = var . y ( )	tf2 :: Vector3 var = var . getOrigin ( ) ; LaVectorDouble var = LaVectorDouble :: zeros ( var , 1 ) ; var ( 1 ) = var . y ( )
tf :: Vector3 var = var . getOrigin ( ) ; LaVectorDouble var = LaVectorDouble :: zeros ( var , 1 ) ; var ( 2 ) = var . z ( )	tf2 :: Vector3 var = var . getOrigin ( ) ; LaVectorDouble var = LaVectorDouble :: zeros ( var , 1 ) ; var ( 2 ) = var . z ( )
LaVectorDouble var = LaVectorDouble :: zeros ( var , 1 ) ; const tf :: Transform * var ; var . getBasis ( ) . getRPY ( var ( 5 ) , var ( 4 ) , var ( 3 ) )	LaVectorDouble var = LaVectorDouble :: zeros ( var , 1 ) ; const tf2 :: Transform * var ; var . getBasis ( ) . getRPY ( var ( 5 ) , var ( 4 ) , var ( 3 ) )
